"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2023","62.70","63.80","63.80","62.00","4.37K","0.16%"
"05/04/2023","62.60","62.20","63.80","62.20","1.10K","0.81%"
"05/03/2023","62.10","61.50","63.30","61.50","17.20K","0.98%"
"05/02/2023","61.50","63.30","63.30","60.00","47.03K","-2.69%"
"04/28/2023","63.20","63.00","63.50","62.80","3.96K","0.32%"
"04/27/2023","63.00","63.10","63.70","63.00","61.83K","-0.16%"
"04/26/2023","63.10","64.00","64.00","62.90","7.22K","-1.41%"
"04/25/2023","64.00","64.20","64.20","62.10","24.45K","-0.16%"
"04/24/2023","64.10","64.50","64.90","64.00","10.56K","-0.47%"
"04/21/2023","64.40","63.00","64.40","62.90","3.16M","2.22%"
"04/20/2023","63.00","64.00","64.00","63.00","35.46K","-1.56%"
"04/19/2023","64.00","64.00","64.50","63.60","88.50K","-0.31%"
"04/18/2023","64.20","64.00","64.20","63.30","46.57K","-1.08%"
"04/17/2023","64.90","64.00","64.90","63.60","43.09K","1.25%"
"04/12/2023","64.10","64.30","66.00","64.00","556.45K","-1.84%"
"04/11/2023","65.30","65.80","65.80","64.40","103.49K","0.15%"
"04/10/2023","65.20","64.00","65.20","64.00","28.37K","0.15%"
"04/06/2023","65.10","64.90","65.10","64.20","32.39K","0.31%"
"04/04/2023","64.90","63.80","65.00","63.20","20.93K","1.41%"
"04/03/2023","64.00","64.30","64.30","63.00","44.26K","-1.54%"
"03/31/2023","65.00","65.40","65.40","64.20","119.98K","1.56%"
"03/30/2023","64.00","65.00","66.00","64.00","479.06K","-1.99%"
"03/29/2023","65.30","65.20","65.30","64.20","8.74K","1.24%"
"03/28/2023","64.50","65.20","65.50","64.10","45.96K","-1.53%"
"03/27/2023","65.50","65.60","65.60","65.10","30.05K","-0.15%"
"03/24/2023","65.60","65.60","65.90","65.60","7.15K","-0.46%"
"03/23/2023","65.90","66.10","66.70","65.90","340.90K","-0.15%"
"03/22/2023","66.00","66.10","66.50","66.00","82.97K","-1.05%"
"03/21/2023","66.70","66.80","66.80","65.50","49.48K","2.62%"
"03/20/2023","65.00","68.00","68.00","65.00","559.81K","-4.13%"
"03/17/2023","67.80","67.00","68.30","67.00","135.43K","0.59%"
